source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,8,8,0,0,equal,c,,,,percent,SYNTHETIC,33.14,37.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.02,51.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,24.74,38.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,8,8,0,0,equal,c,,,,percent,SYNTHETIC,19.81,22.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,24.5,36.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Small/area/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,34.39,46.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,30.82,42.52,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/SCvsST,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,19.97,43.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,10.55,25.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,22.2,40.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/SCvsST,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,31.16,55.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,38.64,26.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,17.47,19.03,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,18.16,22.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,32.33,32.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,15.2,17.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/SmallvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,9.51,12.64,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,D & N Haveli,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,31.97,34.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,31.88,48.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,30.73,51.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,12.41,27.39,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,19.92,38.3,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Delhi,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,20.25,20.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Delhi,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,8.85,12.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Delhi,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,16.34,16.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,26.1,15.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,41.83,29.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,44.28,31.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,49.23,28.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Delhi,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,46.89,31.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Delhi,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,44.7,32.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Delhi,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,38.04,25.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,21.96,41.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Goa,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,percent,SYNTHETIC,19.79,39.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,25.01,39.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,13.79,38.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Goa,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.19,38.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,20.63,31.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Goa,All,area,MediumvsLarge,landholding,medium operated area,large operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,31.57,34.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/area/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Goa,All,area,Semi-mediumvsLarge,landholding,semi-medium operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,33.47,37.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Goa,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,26.41,27.74,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/area/SmallvsLarge,AgCensus2015-16,T2-4,Goa,All,area,SmallvsLarge,landholding,small operated area,large operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,5.07,8.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Goa,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,24.2,26.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Goa,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,32.28,33.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Goa,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,34.76,16.73,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Goa,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.93,29.54,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Goa,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,29.61,30.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Goa,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,13.67,18.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,28.41,42.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Goa,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.52,43.42,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,20.78,37.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,6.76,20.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Goa,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,31.82,42.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,5.61,30.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/area/SmallvsMedium,AgCensus2015-16,T2-4,Goa,ST,area,SmallvsMedium,landholding,small operated area,medium operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,31.74,31.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Goa,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,5.21,5.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,45.98,26.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.27,23.81,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,23.02,12.09,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,54.33,30.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Goa,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,2,2,0,0,equal,c,,,,percent,SYNTHETIC,8.07,10.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Goa,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,30.04,31.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,32.97,53.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,5.94,26.81,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,7.09,31.17,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,11.88,26.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/area/MarginalvsLarge,AgCensus2015-16,T2-4,Gujarat,All,area,MarginalvsLarge,landholding,marginal operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,21.05,21.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,9.5,9.72,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,18.24,20.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Gujarat,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.33,25.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Gujarat,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,44.24,23.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,53.64,31.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Gujarat,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,37.95,22.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,39.19,17.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,33.47,51.53,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,28.61,50.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,6.06,22.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,5.05,28.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,5.06,28.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Gujarat/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,19.76,37.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
